id	name	population	location_type	admin_area_id	sub_admin_area_id	admin_area	sub_admin_area
7826	Cameron	423908.0	SubAdminArea	6614.0	7826	Texas	Cameron
2786	Trego	175.0	Locality	1860.0	2786	Wisconsin	Trego
13609	Wellsville	5788.0	Locality	13115.0	13609	New York	Wellsville
32509	Lynchburg		Locality	31770.0	32505	Missouri	Laclede County
47269	Meriden		Locality	21659.0	23067	Illinois	LaSalle County
35029	Hastings	7673.0	Locality	34363.0	35026	Michigan	Barry County
16196	Summerville	511.0	Locality	14499.0	16193	Pennsylvania	Jefferson County
5666	Westwood	11326.0	Locality	5237.0	5618	New Jersey	Bergen County
40452	Custer	1932.0	Locality	39893.0	40452	South Dakota	Custer
42679	Hollis		Locality	16606.0	42679	California	Hollis
13946	Latham		Locality	13115.0	13946	New York	Latham
68982	Oakmont		Locality	2876.0	68982	West Virginia	Oakmont
45289	Spring Bluff		Locality	23298.0	45289	Georgia	Spring Bluff
43512	Highland Springs		Locality	16606.0	43512	California	Highland Springs
36199	Tecumseh		Locality	35359.0	36199	Kansas	Tecumseh
60522	Unity		Locality	39344.0	60522	Oregon	Unity
25039	Clarks Hill	711.0	Locality	24391.0	25039	Indiana	Clarks Hill
46189	Plainview		Locality	25316.0	25617	Iowa	Scott County
16669	Winchester	2721.0	Locality	16606.0	16607	California	Riverside County
47719	Ontario		Locality	21659.0	22254	Illinois	Knox County
36019	Detroit	277.0	Locality	35359.0	36005	Kansas	Dickinson County
16489	Riverside	1880.0	Locality	14499.0	16480	Pennsylvania	Northumberland County
14486	Gainesville	221.0	Locality	13115.0	14477	New York	Wyoming County
48732	Zoar		Locality	24391.0	48732	Indiana	Zoar
42139	Love		Locality	27523.0	42139	Arizona	Love
32869	Bourbon	1601.0	Locality	31770.0	32869	Missouri	Bourbon
10346	Tuxedo		Locality	10187.0	10346	North Carolina	Tuxedo
24409	Flora	1981.0	Locality	24391.0	24409	Indiana	Flora
6566	Elida	181.0	Locality	5995.0	6566	New Mexico	Elida
51139	Massey		Locality	28810.0	51139	Maryland	Massey
36289	Macksville	533.0	Locality	35359.0	36289	Kansas	Macksville
12259	Albion	1613.0	Locality	11706.0	12259	Nebraska	Albion
25309	New Albany	36461.0	Locality	24391.0	25308	Indiana	Floyd County
40272	Carthage	132.0	Locality	39893.0	40270	South Dakota	Miner County
42252	Bellevue		Locality	27523.0	27989	Arizona	Gila County
52849	Marion		Locality	33129.0	34188	Minnesota	Olmsted County
22249	Buffalo	485.0	Locality	21659.0	22227	Illinois	Sangamon County
1819	Odessa	366.0	Locality	1759.0	1786	Delaware	New Castle County
32059	Neosho	12153.0	Locality	31770.0	32042	Missouri	Newton County
25489	Millville		Locality	25316.0	25480	Iowa	Clayton County
35479	Stockton	1290.0	Locality	35359.0	35472	Kansas	Rooks County
15836	Stevens	511.0	Locality	14499.0	15836	Pennsylvania	Stevens
32959	Watson	91.0	Locality	31770.0	32959	Missouri	Watson
66912	Sunderland		Locality	21517.0	66912	Vermont	Sunderland
12506	Crab Orchard	763.0	Locality	12445.0	12506	Tennessee	Crab Orchard
49362	Powersville		Locality	38303.0	49362	Kentucky	Powersville
23239	Massac	14080.0	SubAdminArea	21659.0	23239	Illinois	Massac
10819	Webster	385.0	Locality	10187.0	10815	North Carolina	Jackson County
15656	Russellville		Locality	14499.0	15654	Pennsylvania	Chester County
27649	Peoria	168181.0	Locality	27523.0	27601	Arizona	Maricopa County
46032	Evanston		Locality	25316.0	25525	Iowa	Webster County
33573	Isanti	39966.0	SubAdminArea	33129.0	33573	Minnesota	Isanti
16203	Sigel		Locality	14499.0	16203	Pennsylvania	Sigel
10420	Bellemont		Locality	10187.0	10420	North Carolina	Bellemont
20523	Rutledge	464.0	Locality	19743.0	20523	Alabama	Rutledge
